CountryCode,3letterCountryCode,アシタバ,アズキ,アピオス,アーティチョーク
PF,PYF,0,0,0,1
PG,PNG,0,0,0,0
PH,PHL,0,1,0,0
PK,PAK,0,0,0,1
PL,POL,0,0,0,0
PM,SPM,0,0,0,0
PN,PCN,0,0,0,0
PR,PRI,0,0,0,0
PS,PSE,0,0,0,0
PT,PRT,0,0,0,2
PW,PLW,0,0,0,0
PY,PRY,0,0,0,0
QA,QAT,0,0,0,0
RE,REU,0,0,0,7
RO,ROU,0,1,0,8
RS,SRB,0,0,0,0
RU,RUS,0,6,0,3
RW,RWA,0,0,0,0
SA,SAU,0,0,0,0
SB,SLB,0,0,0,0
SC,SYC,0,0,0,0
SD,SDN,0,0,0,0
SE,SWE,0,0,2,0
SG,SGP,0,0,0,0
SH,SHN,0,0,0,0
SI,SVN,0,0,0,0
SJ,SJM,0,0,0,0
SK,SVK,0,0,0,0
SL,SLE,0,0,0,0
SM,SMR,0,0,0,0
SN,SEN,0,0,0,0
SO,SOM,0,0,0,0
SR,SUR,0,0,0,0
SS,SSD,0,0,0,0
ST,STP,0,0,0,0
SV,SLV,0,0,0,0
SX,SXM,0,0,0,0
SY,SYR,0,0,0,0
SZ,SWZ,0,0,0,0
TC,TCA,0,0,0,0
TD,TCD,0,0,0,0
TF,ATF,0,0,0,0
TG,TGO,0,0,0,0
TH,THA,0,0,0,0
TJ,TJK,0,0,0,0
TK,TKL,0,0,0,0
TL,TLS,0,0,0,0
TM,TKM,0,0,0,0
TN,TUN,0,0,0,0
TO,TON,0,0,0,0
TR,TUR,0,0,0,0
TT,TTO,0,0,0,0
TV,TUV,0,0,0,0
TW,TWN,5,1,0,0
TZ,TZA,0,0,0,3
UA,UKR,1,0,0,9
UG,UGA,0,0,0,0
UM,UMI,0,0,0,0
US,USA,1,26,8986,43
UY,URY,0,0,0,0
UZ,UZB,0,0,0,0
VA,VAT,0,0,0,0
VC,VCT,0,0,0,0
VE,VEN,0,0,0,0
VG,VGB,0,0,0,0
VI,VIR,0,0,0,0
VN,VNM,0,1,1,0
VU,VUT,0,0,0,0
WF,WLF,0,0,0,0
WS,WSM,0,0,0,0
YE,YEM,0,0,0,0
YT,MYT,0,0,0,0
ZA,ZAF,0,0,0,0
ZM,ZMB,0,0,0,0
ZW,ZWE,0,0,0,0
