CountryCode,3letterCountryCode,アシタバ,アスパラガス,アズキ,アピオス,アーティチョーク
FI,FIN,0.0,0.008127857449884725,0.0,0.0,0.0
FJ,FJI,0.0,0.0,0.0,0.0,0.0
FK,FLK,0.0,0.0,0.0,0.0,0.0
FM,FSM,0.0,0.0,0.0,0.0,0.0
FO,FRO,0.0,0.00019538118869915204,0.0,0.0,0.0
FR,FRA,0.0,1.0,0.0,0.00823503227242377,0.8888888888888888
GA,GAB,0.0,0.0,0.0,0.0,0.0
GB,GBR,0.0,0.10745965378453362,0.0,0.00022256843979523704,0.03968253968253968
GD,GRD,0.0,0.0,0.0,0.0,0.0
GE,GEO,0.0,0.001055058418975421,0.0,0.0,0.0
GF,GUF,0.0,0.0,0.0,0.0,0.0
GG,GGY,0.0,0.0,0.0,0.0,0.0
GH,GHA,0.0,0.0,0.0,0.0,0.0
GI,GIB,0.0,0.0,0.0,0.0,0.0
GL,GRL,0.0,0.0,0.0,0.0,0.0
GM,GMB,0.0,0.0,0.0,0.0,0.0
GN,GIN,0.0,0.0,0.0,0.0,0.0
GP,GLP,0.0,0.00023445742643898244,0.0,0.0,0.015873015873015872
GQ,GNQ,0.0,0.0,0.0,0.0,0.0
GR,GRC,0.0,0.0003126099019186433,0.0,0.0,0.07936507936507936
GS,SGS,0.0,0.0,0.0,0.0,0.0
GT,GTM,0.0,3.907623773983041e-05,0.0,0.0,0.023809523809523808
GU,GUM,0.0,3.907623773983041e-05,0.0,0.0,0.0
GW,GNB,0.0,0.0,0.0,0.0,0.0
GY,GUY,0.0,0.0,0.0,0.0,0.0
HK,HKG,0.0,3.907623773983041e-05,0.006993006993006993,0.0,0.0
HM,HMD,0.0,0.0,0.0,0.0,0.0
HN,HND,0.0,7.815247547966082e-05,0.0,0.0,0.0
HR,HRV,0.0,0.00015630495095932164,0.0,0.0,0.0
HT,HTI,0.0,3.907623773983041e-05,0.0,0.0,0.0
HU,HUN,0.0,0.002969794068227111,0.0,0.0,0.0
ID,IDN,0.0,0.00011722871321949122,0.0,0.0,0.007936507936507936
IE,IRL,0.0,0.0003126099019186433,0.0,0.0,0.0
IL,ISR,0.0,0.0,0.0,0.0,0.0
IM,IMN,0.0,3.907623773983041e-05,0.0,0.0,0.0
IN,IND,0.0,0.0006252198038372865,0.006993006993006993,0.0,0.007936507936507936
IO,IOT,0.0,0.0,0.0,0.0,0.0
IQ,IRQ,0.0,0.0,0.0,0.0,0.0
IR,IRN,0.0,0.00019538118869915204,0.0,0.0,0.007936507936507936
IS,ISL,0.0,0.0,0.0,0.0,0.0
IT,ITA,0.0,0.010316126763315229,0.0,0.009236590251502337,0.15079365079365079
JE,JEY,0.0,3.907623773983041e-05,0.0,0.0,0.0
JM,JAM,0.0,0.0,0.0,0.0,0.0
JO,JOR,0.0,0.0,0.0,0.0,0.0
JP,JPN,1.0,0.002774412879527959,0.7272727272727273,0.004673937235699978,0.007936507936507936
KE,KEN,0.0,0.0,0.0,0.0,0.0
KG,KGZ,0.0,0.00011722871321949122,0.0,0.0,0.0
KH,KHM,0.0,0.0,0.0,0.0,0.0
KI,KIR,0.0,0.0,0.0,0.0,0.0
KM,COM,0.0,0.0,0.0,0.0,0.0
KN,KNA,0.0,0.0,0.0,0.0,0.0
KP,PRK,0.0,0.0,0.1258741258741259,0.0,0.0
KR,KOR,0.0,0.0008987534680160994,0.6643356643356644,0.0,0.0
KW,KWT,0.0,0.0,0.0,0.0,0.0
KY,CYM,0.0,0.0,0.0,0.0,0.0
KZ,KAZ,0.0,0.002657184166308468,0.0,0.0,0.0
LA,LAO,0.0,0.0,0.0,0.0,0.0
LB,LBN,0.0,3.907623773983041e-05,0.0,0.0,0.0
LC,LCA,0.0,0.0,0.0,0.0,0.0
LI,LIE,0.0,0.0005079910906177953,0.0,0.0,0.0
LK,LKA,0.0,0.0,0.0,0.0,0.0
LR,LBR,0.0,0.0,0.0,0.0,0.0
LS,LSO,0.0,0.0,0.0,0.0,0.0
LT,LTU,0.0,0.0012895158454144036,0.0,0.0,0.0
LU,LUX,0.0,0.001055058418975421,0.0,0.0,0.0
LV,LVA,0.0,0.001250439607674573,0.0,0.0,0.0
LY,LBY,0.0,0.0,0.0,0.0,0.0
MA,MAR,0.0,7.815247547966082e-05,0.0,0.0,0.0
MC,MCO,0.0,0.0,0.0,0.0,0.0
MD,MDA,0.0,0.0005470673283576257,0.0,0.0,0.007936507936507936
ME,MNE,0.0,3.907623773983041e-05,0.0,0.0,0.0
MF,MAF,0.0,7.815247547966082e-05,0.0,0.0,0.0
MG,MDG,0.0,3.907623773983041e-05,0.0,0.0,0.007936507936507936
MH,MHL,0.0,0.0,0.0,0.0,0.0
MK,MKD,0.0,0.0,0.027972027972027972,0.0,0.0
ML,MLI,0.0,0.0,0.0,0.0,0.0
MM,MMR,0.0,0.0,0.0,0.0,0.0
MN,MNG,0.0,0.0,0.0,0.0,0.0
MO,MAC,0.0,0.0,0.0,0.0,0.0
MP,MNP,0.0,0.0,0.0,0.0,0.0
MQ,MTQ,0.0,7.815247547966082e-05,0.0,0.0,0.015873015873015872
MR,MRT,0.0,0.0,0.0,0.0,0.0
MS,MSR,0.0,0.0,0.0,0.0,0.0
MT,MLT,0.0,0.0,0.0,0.0,0.0
MU,MUS,0.0,0.0,0.0,0.0,0.0
MV,MDV,0.0,0.0,0.0,0.0,0.0
MW,MWI,0.0,0.0,0.0,0.0,0.0
MX,MEX,0.0,0.002422726739869485,0.0,0.0,0.03968253968253968
MY,MYS,0.0,0.0,0.0,0.0,0.0
MZ,MOZ,0.0,0.0,0.0,0.0,0.0
,NAM,0.0,0.0,0.0,0.0,0.0
NC,NCL,0.0,7.815247547966082e-05,0.0,0.0,0.0
NE,NER,0.0,0.0,0.0,0.0,0.0
NF,NFK,0.0,0.0,0.0,0.0,0.0
NG,NGA,0.0,0.0,0.0,0.0,0.0
NI,NIC,0.0,7.815247547966082e-05,0.0,0.0,0.0
NL,NLD,0.0,0.3842366456957524,0.0,0.0008902737591809482,0.10317460317460317
NO,NOR,0.004651162790697674,0.027822281270759253,0.0,0.0013354106387714222,0.2619047619047619
NP,NPL,0.0,0.0,0.013986013986013986,0.0,0.007936507936507936
NR,NRU,0.0,0.0,0.0,0.0,0.0
NU,NIU,0.0,0.0,0.0,0.0,0.0
NZ,NZL,0.0,0.003751318823023719,0.0,0.0,0.10317460317460317
OM,OMN,0.0,0.0,0.0,0.0,0.0
PA,PAN,0.0,0.0,0.0,0.0,0.0
PE,PER,0.0,0.0003907623773983041,0.0,0.0,0.015873015873015872
PF,PYF,0.0,0.00023445742643898244,0.0,0.0,0.007936507936507936
PG,PNG,0.0,0.0,0.0,0.0,0.0
PH,PHL,0.0,0.0,0.006993006993006993,0.0,0.0
PK,PAK,0.0,0.0004298386151381345,0.0,0.0,0.007936507936507936
PL,POL,0.0,0.01250439607674573,0.0,0.0,0.0
PM,SPM,0.0,7.815247547966082e-05,0.0,0.0,0.0
PN,PCN,0.0,0.0,0.0,0.0,0.0
PR,PRI,0.0,7.815247547966082e-05,0.0,0.0,0.0
PS,PSE,0.0,0.0,0.0,0.0,0.0
PT,PRT,0.0,0.0016412019850728771,0.0,0.0,0.015873015873015872
PW,PLW,0.0,0.0,0.0,0.0,0.0
PY,PRY,0.0,3.907623773983041e-05,0.0,0.0,0.0
QA,QAT,0.0,0.0,0.0,0.0,0.0
RE,REU,0.0,0.0004298386151381345,0.0,0.0,0.05555555555555555
RO,ROU,0.0,0.0007815247547966082,0.006993006993006993,0.0,0.06349206349206349
RS,SRB,0.0,7.815247547966082e-05,0.0,0.0,0.0
RU,RUS,0.0,0.17455355398382244,0.04195804195804196,0.0,0.023809523809523808
RW,RWA,0.0,0.0,0.0,0.0,0.0
SA,SAU,0.0,0.0,0.0,0.0,0.0
SB,SLB,0.0,0.0,0.0,0.0,0.0
SC,SYC,0.0,3.907623773983041e-05,0.0,0.0,0.0
SD,SDN,0.0,0.0,0.0,0.0,0.0
SE,SWE,0.0,0.13031925286233442,0.0,0.00022256843979523704,0.0
SG,SGP,0.0,0.0,0.0,0.0,0.0
SH,SHN,0.0,0.0,0.0,0.0,0.0
SI,SVN,0.0,0.0003516861396584737,0.0,0.0,0.0
SJ,SJM,0.0,0.0,0.0,0.0,0.0
SK,SVK,0.0,0.0017975069360321987,0.0,0.0,0.0
SL,SLE,0.0,0.0,0.0,0.0,0.0
SM,SMR,0.0,0.0,0.0,0.0,0.0
SN,SEN,0.0,0.0,0.0,0.0,0.0
SO,SOM,0.0,0.0,0.0,0.0,0.0
SR,SUR,0.0,0.00019538118869915204,0.0,0.0,0.0
SS,SSD,0.0,0.0,0.0,0.0,0.0
ST,STP,0.0,0.0,0.0,0.0,0.0
SV,SLV,0.0,0.0003907623773983041,0.0,0.0,0.0
SX,SXM,0.0,0.0,0.0,0.0,0.0
SY,SYR,0.0,0.0,0.0,0.0,0.0
SZ,SWZ,0.0,0.0,0.0,0.0,0.0
TC,TCA,0.0,0.0,0.0,0.0,0.0
TD,TCD,0.0,0.0,0.0,0.0,0.0
TF,ATF,0.0,0.0,0.0,0.0,0.0
TG,TGO,0.0,0.0,0.0,0.0,0.0
TH,THA,0.0,0.00011722871321949122,0.0,0.0,0.0
TJ,TJK,0.0,0.0,0.0,0.0,0.0
TK,TKL,0.0,0.0,0.0,0.0,0.0
TL,TLS,0.0,0.0,0.0,0.0,0.0
TM,TKM,0.0,0.0,0.0,0.0,0.0
TN,TUN,0.0,0.00015630495095932164,0.0,0.0,0.0
TO,TON,0.0,0.00027353366417881287,0.0,0.0,0.0
TR,TUR,0.0,0.0022664217889101636,0.0,0.0,0.0
TT,TTO,0.0,0.0,0.0,0.0,0.0
TV,TUV,0.0,0.0,0.0,0.0,0.0
TW,TWN,0.023255813953488372,0.0005861435660974561,0.006993006993006993,0.0,0.0
TZ,TZA,0.0,0.0,0.0,0.0,0.023809523809523808
UA,UKR,0.004651162790697674,0.037005197139619396,0.0,0.0,0.07142857142857142
UG,UGA,0.0,0.0,0.0,0.0,0.0
UM,UMI,0.0,0.0,0.0,0.0,0.0
US,USA,0.004651162790697674,0.2170685006447579,0.18181818181818182,1.0,0.3412698412698413
UY,URY,0.0,7.815247547966082e-05,0.0,0.0,0.0
UZ,UZB,0.0,0.0,0.0,0.0,0.0
VA,VAT,0.0,0.0,0.0,0.0,0.0
VC,VCT,0.0,0.0,0.0,0.0,0.0
VE,VEN,0.0,0.0,0.0,0.0,0.0
VG,VGB,0.0,0.0,0.0,0.0,0.0
VI,VIR,0.0,3.907623773983041e-05,0.0,0.0,0.0
VN,VNM,0.0,0.0,0.006993006993006993,0.00011128421989761852,0.0
VU,VUT,0.0,0.0,0.0,0.0,0.0
WF,WLF,0.0,0.0,0.0,0.0,0.0
WS,WSM,0.0,0.0,0.0,0.0,0.0
YE,YEM,0.0,0.0,0.0,0.0,0.0
YT,MYT,0.0,0.0,0.0,0.0,0.0
ZA,ZAF,0.0,0.000664296041577117,0.0,0.0,0.0
ZM,ZMB,0.0,0.0,0.0,0.0,0.0
ZW,ZWE,0.0,3.907623773983041e-05,0.0,0.0,0.0
